2010-01-04,1225
2010-01-11,1168
2010-01-18,1368
2010-01-25,970
2010-02-01,1139
2010-02-08,1211
2010-02-15,1274
2010-02-22,1184
2010-03-01,1363
2010-03-08,1017
2010-03-15,781
2010-03-22,573
2010-03-29,443
2010-04-05,371
2010-04-12,427
2010-04-19,316
2010-04-26,252
2010-05-03,192
2010-05-10,164
2010-05-17,198
2010-05-24,201
2010-05-31,201
2010-06-07,142
2010-06-14,142
2010-06-21,138
2010-06-28,107
2010-07-05,105
2010-07-12,87
2010-07-19,104
2010-07-26,110
2010-08-02,201
2010-08-09,163
2010-08-16,216
2010-08-23,418
2010-08-30,501
2010-09-06,522
2010-09-13,263
2010-09-20,313
2010-09-27,331
2010-10-04,403
2010-10-11,413
2010-10-18,338
2010-10-25,298
2010-11-01,337
2010-11-08,353
2010-11-15,527
2010-11-22,578
2010-11-29,614
2010-12-06,642
2010-12-13,612
2010-12-20,464
2010-12-27,335
2011-01-03,268
2011-01-10,333
2011-01-17,349
2011-01-24,292
2011-01-31,233
2011-02-07,231
2011-02-14,257
2011-02-21,204
2011-02-28,287
2011-03-07,192
2011-03-14,229
2011-03-21,372
2011-03-28,466
2011-04-04,347
2011-04-11,283
2011-04-18,163
2011-04-25,168
2011-05-02,108
2011-05-09,132
2011-05-16,104
2011-05-23,152
2011-05-30,127
2011-06-06,109
2011-06-13,111
2011-06-20,93
2011-06-27,77
2011-07-04,104
2011-07-11,88
2011-07-18,120
2011-07-25,81
2011-08-01,98
2011-08-08,75
2011-08-15,111
2011-08-22,86
2011-08-29,136
2011-09-05,122
2011-09-12,88
2011-09-19,139
2011-09-26,110
2011-10-03,138
2011-10-10,150
2011-10-17,248
2011-10-24,159
2011-10-31,174
2011-11-07,215
2011-11-14,208
2011-11-21,191
2011-11-28,188
2011-12-05,234
2011-12-12,246
2011-12-19,232
2011-12-26,441
2012-01-02,694
2012-01-09,1097
2012-01-16,1679
2012-01-23,2236
2012-01-30,1980
2012-02-06,1957
2012-02-13,1301
2012-02-20,1082
2012-02-27,822
2012-03-05,643
2012-03-12,431
2012-03-19,383
2012-03-26,282
2012-04-02,224
2012-04-09,240
2012-04-16,164
2012-04-23,179
2012-04-30,232
2012-05-07,181
2012-05-14,181
2012-05-21,155
2012-05-28,173
2012-06-04,185
2012-06-11,147
2012-06-18,145
2012-06-25,173
2012-07-02,132
2012-07-09,129
2012-07-16,102
2012-07-23,111
2012-07-30,109
2012-08-06,94
2012-08-13,99
2012-08-20,134
2012-08-27,166
2012-09-03,136
2012-09-10,181
2012-09-17,182
2012-09-24,186
2012-10-01,221
2012-10-08,223
2012-10-15,268
2012-10-22,330
2012-10-29,311
2012-11-05,347
2012-11-12,222
2012-11-19,178
2012-11-26,260
2012-12-03,403
2012-12-10,281
2012-12-17,188
2012-12-24,252
2012-12-31,359
2013-01-07,482
2013-01-14,637
2013-01-21,659
2013-01-28,592
2013-02-04,600
2013-02-11,583
2013-02-18,469
2013-02-25,486
2013-03-04,468
2013-03-11,365
2013-03-18,271
2013-03-25,194
2013-04-01,202
2013-04-08,241
2013-04-15,211
2013-04-22,184
2013-04-29,191
2013-05-06,190
2013-05-13,166
2013-05-20,175
2013-05-27,151
2013-06-03,189
2013-06-10,158
2013-06-17,170
2013-06-24,163
2013-07-01,215
2013-07-08,184
2013-07-15,215
2013-07-22,193
2013-07-29,188
2013-08-05,217
2013-08-12,204
2013-08-19,196
2013-08-26,224
2013-09-02,290
2013-09-09,271
2013-09-16,354
2013-09-23,367
2013-09-30,363
2013-10-07,330
2013-10-14,354
2013-10-21,344
2013-10-28,346
2013-11-04,387
2013-11-11,304
2013-11-18,446
2013-11-25,446
2013-12-02,492
2013-12-09,577
2013-12-16,671
2013-12-23,731
2013-12-30,979
